"id";"eventId";"eventName";"eventCountry";"eventDate";"finishTimes";"avgFinishTimeInMin";"fastestFinishTimeInMin";"createdAt"
1;215;tokoinranta;Finland;2025-04-12 00:00:00.000;{1158,1169,1261,1300,1318,1332,1340,1344,1347,1402,1413,1453,1462,1473,1480,1487,1489,1498,1504,1511,1560,1570,1572,1575,1590,1594,1595,1610,1614,1614,1615,1632,1650,1655,1656,1662,1682,1683,1743,1813,1818,1843,1847,1860,1884,1904,1928,1934,1965,1967,2002,2018,2053,2075,2111,2117,2123,2183,2184,2302,2454,2526,2526,2527,2729,3247,3248};29.80124378109453;19.3;2025-04-12 14:59:14.847
2;214;tokoinranta;Finland;2025-04-05 00:00:00.000;{1143,1149,1165,1263,1276,1281,1360,1396,1409,1428,1439,1445,1538,1555,1569,1573,1581,1583,1606,1609,1612,1638,1643,1665,1703,1709,1709,1713,1716,1716,1757,1797,1823,1882,1897,1913,1941,1942,1966,1975,1996,2010,2012,2015,2025,2026,2037,2039,2042,2056,2076,2089,2175,2201,2202,2248,2261,2277,2325,2389,2560,2565,2597,2600,2871,2965,3043,3401,3402};32.02657004830918;19.05;2025-04-12 14:59:15.002
3;213;tokoinranta;Finland;2025-03-29 00:00:00.000;{1102,1140,1147,1169,1250,1254,1257,1258,1271,1286,1359,1364,1397,1401,1406,1413,1416,1417,1446,1452,1461,1463,1470,1470,1471,1539,1546,1551,1568,1570,1573,1603,1608,1615,1616,1618,1625,1628,1633,1642,1645,1647,1654,1656,1660,1667,1668,1683,1684,1688,1689,1697,1704,1706,1715,1720,1748,1768,1769,1770,1804,1818,1818,1853,1858,1865,1870,1903,1910,1911,1916,1924,1938,1939,1951,1953,1954,2019,2026,2031,2032,2048,2060,2127,2166,2218,2248,2248,2251,2253,2254,2336,2347,2387,2403,2478,2479,3003,3023,3518,3633,3885,3886};30.57556634304207;18.36666666666667;2025-04-12 14:59:15.133
4;212;tokoinranta;Finland;2025-03-22 00:00:00.000;{936,1007,1112,1166,1170,1183,1232,1236,1275,1344,1350,1369,1397,1410,1424,1454,1455,1486,1490,1526,1539,1554,1565,1589,1595,1595,1596,1608,1613,1619,1654,1668,1674,1702,1706,1721,1723,1736,1763,1765,1843,1858,1867,1871,1875,1880,1883,1897,1920,1931,1955,2006,2180,2181,2232,2236,2237,2248,2249,2264,2270,2326,2327,2363,2491,2516,2516,2525,2815,3005,3005,3289,3481,3484,3535};31.45955555555555;15.6;2025-04-12 14:59:15.245
5;211;tokoinranta;Finland;2025-03-15 00:00:00.000;{1137,1147,1216,1249,1278,1284,1286,1334,1346,1346,1399,1418,1447,1483,1486,1504,1531,1535,1571,1591,1594,1598,1598,1606,1617,1630,1652,1654,1668,1674,1679,1684,1706,1763,1764,1781,1782,1805,1811,1849,1851,1918,1935,1950,1952,1983,2008,2021,2064,2098,2112,2112,2134,2136,2140,2141,2235,2236,2485,2675,2676,2873,2895,3254,3256,3264,3587};31.21741293532338;18.95;2025-04-12 14:59:15.336
6;210;tokoinranta;Finland;2025-03-08 00:00:00.000;{1029,1075,1144,1160,1238,1259,1262,1274,1291,1306,1308,1378,1391,1413,1433,1486,1488,1493,1498,1517,1518,1587,1596,1612,1612,1618,1625,1645,1652,1671,1677,1679,1702,1703,1743,1748,1766,1780,1787,1828,1831,1839,1839,1849,1852,1858,1858,1859,1860,1860,1868,1911,1914,1935,1953,1956,1997,2034,2051,2052,2068,2126,2135,2156,2178,2200,2263,2270,2308,2316,2399,2428,2431,2660,2661,2681,3107,3107,3539,3546,3548};31.33641975308642;17.15;2025-04-12 14:59:15.443
7;209;tokoinranta;Finland;2025-03-01 00:00:00.000;{1117,1153,1175,1175,1250,1268,1268,1340,1349,1368,1377,1394,1415,1472,1489,1508,1510,1518,1523,1553,1555,1562,1563,1582,1606,1614,1619,1624,1634,1643,1702,1720,1723,1724,1734,1745,1779,1784,1787,1788,1800,1816,1880,1884,1888,1907,1915,1922,1922,1936,1996,2014,2036,2036,2044,2113,2135,2289,2301,2319,2328,2395,2683,2722,2937,3047,3048,3257,3473,3474,3476,3477,3584,3585,3590,3592};33.23048245614035;18.61666666666667;2025-04-12 14:59:15.562
8;208;tokoinranta;Finland;2025-02-22 00:00:00.000;{1141,1167,1192,1226,1261,1290,1309,1314,1317,1334,1357,1366,1489,1498,1509,1539,1573,1593,1594,1621,1654,1674,1683,1703,1726,1751,1752,1762,1768,1854,1884,1884,1892,1894,1904,1928,1949,1953,1981,1987,1992,1994,2012,2029,2071,2072,2081,2087,2246,2246,2255,2256,2263,2314,2315,2384,2393,2584,2596,2597,3056,3114,3139,3140,3300,3355,3358,3359,3544,3545};33.80238095238095;19.01666666666667;2025-04-12 14:59:15.662
9;207;tokoinranta;Finland;2025-02-15 00:00:00.000;{1175,1330,1389,1402,1410,1465,1498,1508,1516,1554,1591,1607,1614,1627,1665,1687,1690,1718,1748,1785,1793,1793,1841,1846,1882,1883,1892,1954,1963,1976,2024,2106,2165,2173,2243,2266,2274,2275,2370,2381,2381,2529,2529,2529,2907,3074,3076,3096,3196,3196,3358};33.97058823529412;19.58333333333333;2025-04-12 14:59:15.756
10;206;tokoinranta;Finland;2025-02-08 00:00:00.000;{1148,1162,1167,1171,1188,1189,1227,1238,1239,1275,1277,1285,1287,1301,1308,1315,1318,1320,1368,1403,1429,1430,1450,1481,1482,1491,1496,1505,1513,1552,1556,1558,1559,1565,1567,1581,1585,1604,1617,1619,1622,1633,1667,1676,1716,1724,1726,1729,1730,1735,1740,1761,1761,1806,1846,1848,1882,1943,1961,1968,1983,1990,1990,1991,2028,2112,2177,2213,2268,2271,2318,2434,2469,2469,2664,2799,2916,2926,2926};28.74345991561182;19.13333333333333;2025-04-12 14:59:15.854
