"eventName";"eventCountry";"year";"quarter";"fastest_time";"fastest_quartile";"avg_finish_time";"slowest_quartile";"avg_participants"
billdalsparken;Sweden;2025;1;15.85;24.516666666666666;29.193094496365504;31.816666666666666;25.2492211838006231
billdalsparken;Sweden;2025;2;20.81666666666667;25.808333333333334;30.90740740740742;32.483333333333334;36.4603174603174603
broparken;Sweden;2025;2;17.75;23.758333333333333;28.016406250000003;31.295833333333334;32.7812500000000000
haga;Sweden;2025;1;17.03333333333333;23.733333333333334;29.47651460294479;33.266666666666666;133.0622737146994931
haga;Sweden;2025;2;16.2;23.133333333333333;28.369352869352994;32.06666666666667;137.3076923076923077
huddinge;Sweden;2025;2;19.71666666666667;26.158333333333335;34.921739130434766;42.09166666666667;24.5652173913043478
judarskogen;Sweden;2025;2;17.36666666666667;23.808333333333334;28.855105105105046;33.00833333333333;56.2612612612612613
lahdensatama;Finland;2025;1;19.48333333333333;25.029166666666665;33.84042904290423;38.583333333333336;18.9009900990099010
lahdensatama;Finland;2025;2;19.76666666666667;26.9;34.497297297297294;36.65;18.6216216216216216
lillsjon;Sweden;2025;2;20.33333333333333;23.745833333333334;29.729629629629617;34.354166666666664;18.5000000000000000
malmoribersborg;Sweden;2025;1;16.86666666666667;23.754166666666666;28.319180633146868;31.329166666666666;89.4823091247672253
malmoribersborg;Sweden;2025;2;18.4;23.7875;28.551116838487992;31.4125;97.3711340206185567
mattilanniemi;Finland;2025;1;17.35;22.829166666666666;28.102941176470598;32.09583333333333;14.4352941176470588
mattilanniemi;Finland;2025;2;18.61666666666667;21.716666666666665;26.697222222222237;29.179166666666667;24.0476190476190476
orebro;Sweden;2025;1;17.25;23.695833333333333;31.23387681159418;34.45;54.5072463768115942
orebro;Sweden;2025;2;18.28333333333333;25.283333333333335;33.07186897880541;37.31666666666667;106.4104046242774566
pokkinen;Finland;2025;1;19.45;23.4;30.738850574712668;34.266666666666666;19.0275862068965517
pokkinen;Finland;2025;2;18.83333333333333;23.758333333333333;31.176950354609936;36.74166666666667;25.2978723404255319
puolarmaari;Finland;2025;2;20.51666666666667;25.883333333333333;32.32786885245899;34.18333333333333;45.6557377049180328
skatas;Sweden;2025;1;16.3;24.85;29.32568000000008;32.4;54.4464000000000000
skatas;Sweden;2025;2;19.06666666666667;24.783333333333335;30.479310344827585;32.38333333333333;29.0000000000000000
tampere;Finland;2025;1;18.18333333333333;25.225;34.513057124921616;42.675;44.3333333333333333
tampere;Finland;2025;2;18.58333333333333;24.966666666666665;31.807957957957882;35.25;68.1531531531531532
tokoinranta;Finland;2025;1;15.6;25.970833333333335;32.369516129032235;35.708333333333336;71.2817204301075269
tokoinranta;Finland;2025;2;19.05;25.979166666666668;30.930269607843083;34.229166666666664;68.0147058823529412
uppsala;Sweden;2025;1;16.18333333333333;22.341666666666665;26.32321678321668;28.725;57.3832167832167832
uppsala;Sweden;2025;2;16.3;22.2;26.41126436781605;28.633333333333333;72.7793103448275862
vaaksynkanava;Finland;2025;1;20.85;31.666666666666668;40.53275529865124;51.28333333333333;18.0289017341040462
vaaksynkanava;Finland;2025;2;23.15;30.6625;39.33685897435896;51.25;26.0000000000000000
vallaskogen;Sweden;2025;1;18.7;24.583333333333332;32.1939054726368;32.920833333333334;28.3880597014925373
vallaskogen;Sweden;2025;2;19.75;23.283333333333335;28.795;30.6;35.2571428571428571
vaxjosjon;Sweden;2025;1;17.66666666666667;23.808333333333334;30.182044444444454;32.90833333333333;29.6293333333333333
vaxjosjon;Sweden;2025;2;18.98333333333333;23.441666666666666;29.16470588235296;31.4875;34.7352941176470588
